	Course	Section	Faculty	Time	Room	Seats Available	
['189.', 'BBT316', '1', 'KNH', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'SAC404', '0']
['190.', 'BBT316L', '1', 'NRO', 'R', '12:40', 'PM', '-', '02:50', 'PM', 'SAC414', '0']
['191.', 'BBT316L', '2', 'NRO', 'R', '12:40', 'PM', '-', '02:50', 'PM', 'SAC414_V', '0']
['192.', 'BBT317', '1', 'Sdl', 'ST', '03:00', 'PM', '-', '04:00', 'PM', 'SAC405', '1']
['193.', 'BBT317', '2', 'Sdl', 'MW', '12:40', 'PM', '-', '01:40', 'PM', 'SAC405', '0']
['194.', 'BBT318', '1', 'Sdl', 'ST', '10:20', 'AM', '-', '11:20', 'AM', 'SAC405', '0']
['195.', 'BBT318', '2', 'Sdl', 'ST', '12:40', 'PM', '-', '01:40', 'PM', 'SAC405', '0']
['196.', 'BBT335', '1', 'IJn', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'SAC404', '0']
['197.', 'BBT413', '1', 'CAK', 'MW', '09:10', 'AM', '-', '10:10', 'AM', 'SAC403', '0']
['198.', 'BBT413', '2', 'CAK', 'MW', '11:30', 'AM', '-', '12:30', 'PM', 'SAC406', '0']
['199.', 'BBT413L', '2', 'CAK', 'R', '12:40', 'PM', '-', '02:50', 'PM', 'SAC412_V', '0']
['200.', 'BBT413L', '3', 'CAK', 'A', '12:40', 'PM', '-', '02:50', 'PM', 'SAC412_V3', '0']
['201.', 'BBT415', '1', 'CAK', 'MW', '03:00', 'PM', '-', '04:00', 'PM', 'SAC405', '0']
['202.', 'BBT415L', '1', 'MSH3', 'R', '10:20', 'AM', '-', '12:30', 'PM', 'SAC412', '0']
['203.', 'BBT415L', '2', 'MSH3', 'R', '10:20', 'AM', '-', '12:30', 'PM', 'SAC412_V', '1']
['204.', 'BBT416/MIC311', '1', 'SRS1', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'LIB611', '0']
['205.', 'BBT417', '1', 'IJn', 'ST', '11:30', 'AM', '-', '12:30', 'PM', 'SAC406', '0']
['206.', 'BBT419', '1', 'Sdl', 'MW', '10:20', 'AM', '-', '11:20', 'AM', 'SAC405', '0']
['207.', 'BBT421', '1', 'KNH', 'MW', '11:30', 'AM', '-', '12:30', 'PM', 'SAC405', '0']
['208.', 'BBT422', '1', 'TBA', 'TBA', 'TBA', '0']
['209.', 'BBT422', '2', 'TBA', 'TBA', 'TBA', '0']
['210.', 'BBT422', '3', 'TBA', 'TBA', 'TBA', '0']
['211.', 'BBT422', '4', 'TBA', 'TBA', 'TBA', '0']
['212.', 'BBT422', '5', 'TBA', 'TBA', 'TBA', '0']
['213.', 'BBT422', '6', 'TBA', 'TBA', 'TBA', '0']
['214.', 'BBT422', '7', 'TBA', 'TBA', 'TBA', '0']
['215.', 'BBT422', '8', 'TBA', 'TBA', 'TBA', '5']
['216.', 'BBT422', '9', 'TBA', 'TBA', 'TBA', '5']
['217.', 'BBT423', '1', 'CAK', 'ST', '01:50', 'PM', '-', '02:50', 'PM', 'SAC406', '0']
['218.', 'BBT423', '2', 'CAK', 'ST', '04:10', 'PM', '-', '05:10', 'PM', 'SAC404', '0']
['219.', 'BBT425', '1', 'Sdl', 'MW', '01:50', 'PM', '-', '02:50', 'PM', 'SAC405', '8']
['220.', 'BBT601', '1', 'IJn', 'W', '07:00', 'PM', '-', '09:00', 'PM', 'SAC407', '9']
['221.', 'BBT608/BBT609', '1', 'Awn', 'T', '07:00', 'PM', '-', '09:00', 'PM', 'SAC407', '14']
['222.', 'BBT615/BBT616', '1', 'IqM', 'S', '07:00', 'PM', '-', '09:00', 'PM', 'SAC405', '11']
['223.', 'BBT622/BBT623', '1', 'ABE', 'R', '07:00', 'PM', '-', '09:00', 'PM', 'SAC405', '9']
['224.', 'BBT630/BBT631', '1', 'CqA', 'M', '07:00', 'PM', '-', '09:00', 'PM', 'SAC407', '1']
['225.', 'BBT638/BBT639', '1', 'SBI', 'T', '07:00', 'PM', '-', '09:00', 'PM', 'SAC403', '1']
['226.', 'BBT671', '1', 'SRS1', 'W', '07:00', 'PM', '-', '09:00', 'PM', 'NAC512', '12']
['227.', 'BBT685', '1', 'RHS', 'M', '07:00', 'PM', '-', '09:00', 'PM', 'NAC512', '15']
['228.', 'BBT695', '1', 'MSH3', 'S', '07:00', 'PM', '-', '09:00', 'PM', 'SAC404', '13']
['229.', 'BBT701', '1', 'TBA', 'TBA', 'TBA', '2']
['230.', 'BBT701', '2', 'TBA', 'TBA', 'TBA', '5']
['231.', 'BBT702', '1', 'TBA', 'TBA', 'TBA', '0']
['232.', 'BBT702', '2', 'TBA', 'TBA', 'TBA', '0']
['233.', 'BBT702', '3', 'TBA', 'TBA', 'TBA', '4']
['234.', 'BBT702', '4', 'TBA', 'TBA', 'TBA', '5']
['235.', 'BBT702', '5', 'TBA', 'TBA', 'TBA', '5']
['236.', 'BEN205', '1', 'NMMk', 'ST', '08:00', 'AM', '-', '09:00', 'AM', 'NAC514', '0']
['237.', 'BEN205', '2', 'NMMk', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC302', '0']
['238.', 'BEN205', '3', 'NJb', 'ST', '09:10', 'AM', '-', '10:10', 'AM', 'NAC308', '1']
